"created_date","modified_date","stage_pk","stage_name","stage_type","stage_slug","tournament_id"
2023-10-21 23:38:06.583 -0600,2023-10-21 23:38:06.583 -0600,109,Playoffs,,playoffs,51
2023-10-21 23:38:06.623 -0600,2023-10-21 23:38:06.623 -0600,110,Groups,,groups,52
2023-10-21 23:38:07.292 -0600,2023-10-21 23:38:07.292 -0600,111,knockouts,,knockouts,52
2023-10-21 23:38:07.375 -0600,2023-10-21 23:38:07.375 -0600,112,Regular Season,,regular_season,53
2023-10-21 23:38:08.621 -0600,2023-10-21 23:38:08.621 -0600,113,Playoffs,,playoffs,53
2023-10-21 23:38:08.703 -0600,2023-10-21 23:38:08.703 -0600,114,Round 1,,round_1,54
2023-10-21 23:38:09.584 -0600,2023-10-21 23:38:09.584 -0600,115,Round 2,,round_2,54
2023-10-21 23:38:09.814 -0600,2023-10-21 23:38:09.814 -0600,116,Playoffs,,playoffs,54
2023-10-21 23:38:09.854 -0600,2023-10-21 23:38:09.854 -0600,117,Regular Season,,regular_season,55
2023-10-21 23:38:11.320 -0600,2023-10-21 23:38:11.320 -0600,118,Playoffs,,playoffs,55
2023-10-21 23:38:11.389 -0600,2023-10-21 23:38:11.389 -0600,119,Regular Season,,regular_season,56
2023-10-21 23:38:15.592 -0600,2023-10-21 23:38:15.592 -0600,120,Playoffs,,playoffs,56
2023-10-21 23:38:15.713 -0600,2023-10-21 23:38:15.713 -0600,121,Regular Season,,regular_season,57
2023-10-21 23:38:16.885 -0600,2023-10-21 23:38:16.885 -0600,122,Playoffs,,playoffs,57
2023-10-21 23:38:16.976 -0600,2023-10-21 23:38:16.976 -0600,123,Regular Season,,regular_season,58
2023-10-21 23:38:19.061 -0600,2023-10-21 23:38:19.061 -0600,124,Playoffs,,playoffs,58
2023-10-21 23:38:19.162 -0600,2023-10-21 23:38:19.162 -0600,125,Regular Season,,regular_season,59
2023-10-21 23:38:20.950 -0600,2023-10-21 23:38:20.950 -0600,126,Playoffs,,playoffs,59
2023-10-21 23:38:21.025 -0600,2023-10-21 23:38:21.025 -0600,127,Regular Season,,regular_season,60
2023-10-21 23:38:22.230 -0600,2023-10-21 23:38:22.230 -0600,128,Regular Season,,regular_season,61
2023-10-21 23:38:23.254 -0600,2023-10-21 23:38:23.254 -0600,129,Playoffs,,playoffs,61
2023-10-21 23:38:23.313 -0600,2023-10-21 23:38:23.313 -0600,130,Regular Season,,regular_season,62
2023-10-21 23:38:25.027 -0600,2023-10-21 23:38:25.027 -0600,131,Regular Season,,regular_season,63
2023-10-21 23:38:26.811 -0600,2023-10-21 23:38:26.811 -0600,132,Playoffs,,playoffs,63
2023-10-21 23:38:26.910 -0600,2023-10-21 23:38:26.910 -0600,133,Regular Season,,regular_season,64
2023-10-21 23:38:27.937 -0600,2023-10-21 23:38:27.937 -0600,134,Playoffs,,playoffs,64
2023-10-21 23:38:28.019 -0600,2023-10-21 23:38:28.019 -0600,135,Regular Season,,regular_season,65
